Air_Conditioner,Antiquity,Bathrooms,Borough,Community_Zone,Concierge,District,Elevator,Energy_Consumption,Ensuite,Equipped_Kitchen,Floor,Furnished,Garden,Price,Rooms,Size,Swimming_Pool,Terrace,Type
1,10-20,1,Casco Histórico de Barajas,0,0,Barajas,1,G,0,0,1,1,0,650,1,46,0,0,Piso
1,50-70,1,Gaztambide,0,1,Chamberí,1,G,1,1,5,1,0,1030,1,44,0,0,Piso
0,+100,1,Sol,0,0,Centro,1,C,1,1,4,1,0,900,1,48,0,0,Apartamento
1,<1,2,El Cañaveral,1,1,Vicálvaro,1,A,1,1,1,0,1,950,3,95,1,1,Piso
1,30-50,1,Castilla,1,1,Chamartín,1,G,0,1,6,0,0,900,1,55,1,0,Piso
0,+100,1,Palacio,0,0,Centro,0,G,0,1,4,1,0,720,1,29,0,0,Apartamento
0,30-50,2,Palomeras Sureste,1,1,Puente de Vallecas,1,G,1,1,8,0,0,775,2,85,1,0,Piso
1,+100,1,Bellas Vistas,0,0,Tetuán,1,G,0,1,1,1,0,650,1,30,0,0,Piso
0,10-20,1,Pilar,0,0,Villa de Vallecas,1,G,0,1,1,1,0,850,2,80,0,0,Dúplex
1,30-50,2,Estrella,0,1,Retiro,1,G,0,1,4,0,0,1350,3,132,0,0,Piso
1,70-100,3,Ibiza,0,1,Retiro,1,E,1,1,1,1,0,1350,2,80,0,0,Piso
1,70-100,2,Lista,0,1,Salamanca,1,G,0,1,5,1,0,1800,3,120,0,1,Apartamento
0,30-50,2,Estrella,0,1,Retiro,1,A,0,1,2,0,0,1350,3,132,1,0,Piso
0,50-70,1,Ventas,0,0,Ciudad Lineal,0,A,0,1,2,1,0,625,1,42,0,0,Piso
1,50-70,1,Guindalera,0,0,Salamanca,1,G,0,1,4,1,0,1000,2,52,0,0,Piso
1,10-20,3,Alameda de Osuna,1,0,Barajas,0,Exento,0,1,2,0,1,2900,3,280,1,1,Casa adosada
1,20-30,6,Piovera,1,1,Hortaleza,0,Exento,1,1,3,0,0,3900,5,400,1,1,Casa adosada
1,20-30,6,Piovera,0,0,Hortaleza,0,Exento,1,1,4,0,1,3200,6,380,1,1,Casa adosada
1,20-30,5,Piovera,0,0,Hortaleza,0,Exento,1,1,Bajos,0,1,3950,6,412,0,1,Casa adosada
1,20-30,2,Piovera,1,1,Hortaleza,1,Exento,0,1,3,0,0,1650,3,106,1,0,Piso
1,30-50,2,Quintana,1,0,Ciudad Lineal,1,Exento,0,1,2,0,0,3600,4,280,1,1,Ático
0,50-70,1,Guindalera,0,1,Salamanca,1,G,0,1,1,0,0,750,1,47,0,0,Piso
0,70-100,2,Gaztambide,0,1,Chamberí,1,G,0,1,3,1,0,2000,4,140,0,1,Piso
0,30-50,1,Guindalera,0,1,Salamanca,1,G,0,1,1,0,0,950,2,68,0,1,Piso
1,50-70,2,Guindalera,0,1,Salamanca,1,G,0,1,2,0,0,1275,3,110,0,1,Piso
1,70-100,1,Ibiza,0,0,Retiro,1,G,0,1,2,1,0,850,1,42,0,0,Piso
0,70-100,3,Argüelles,0,0,Moncloa,1,G,0,1,Bajos,1,0,1800,4,250,0,0,Piso
1,10-20,2,Simancas,1,1,San Blas,1,E,1,1,1,0,0,1150,3,94,1,0,Piso
1,50-70,1,Cuatro Caminos,0,0,Tetuán,1,F,0,1,1,1,0,650,1,39,0,0,Apartamento
0,50-70,1,Almenara,1,1,Tetuán,1,G,0,1,1,1,1,1050,2,80,0,0,Piso
0,+100,1,Universidad,0,1,Centro,1,F,0,1,1,0,0,1100,2,90,0,0,Piso
0,50-70,1,Almenara,0,0,Tetuán,0,G,0,1,2,1,0,700,1,65,0,0,Piso
1,50-70,2,Almenara,0,0,Tetuán,0,F,0,1,Bajos,1,0,800,2,80,0,0,Dúplex
0,10-20,1,Berruguete,0,0,Tetuán,1,F,0,1,3,1,0,800,1,75,0,1,Ático
0,50-70,1,Vallehermoso,0,0,Chamberí,1,G,0,0,1,0,0,2300,1,119,0,0,Ático
0,50-70,1,Moscardó,0,0,Usera,0,G,0,1,2,0,0,800,2,44,0,1,Piso
1,10-20,1,Berruguete,0,0,Tetuán,1,G,0,1,2,1,0,700,1,57,0,0,Piso
0,70-100,2,Pacífico,1,1,Retiro,1,G,1,1,7,0,0,1200,2,80,1,0,Piso
0,70-100,1,Delicias,0,0,Arganzuela,1,G,0,1,Bajos,1,0,680,2,39,0,0,Piso
1,+100,1,Argüelles,0,1,Moncloa,1,G,0,1,4,1,0,775,1,60,0,0,Piso
1,70-100,2,Recoletos,0,0,Salamanca,1,E,1,1,1,1,0,2350,2,100,0,0,Piso
0,10-20,2,Valverde,0,0,Centro,1,G,0,1,2,0,0,1300,3,135,0,0,Piso
0,20-30,1,Valdeacederas,0,0,Tetuán,1,G,0,1,Bajos,0,0,690,2,65,0,0,Piso
1,<1,1,Gaztambide,0,1,Chamberí,1,B,0,1,4,1,0,1100,1,40,0,0,Apartamento
1,5-10,2,Legazpi,0,0,Arganzuela,1,B,1,1,8,1,0,1300,2,112,1,0,Piso
1,30-50,1,Imperial,0,0,Arganzuela,1,E,0,1,4,1,0,600,1,45,0,0,Ático
0,70-100,1,Trafalgar,0,1,Chamberí,1,E,0,1,1,0,0,950,1,62,0,0,Piso
0,70-100,1,Ríos Rosas,0,1,Chamberí,1,G,0,1,4,1,1,1050,1,65,0,0,Piso
1,50-70,2,Guindalera,0,0,Salamanca,1,E,0,1,3,0,0,1000,1,75,0,0,Piso
0,+100,1,Universidad,0,0,Centro,1,G,0,1,1,1,0,900,1,60,0,0,Piso
0,70-100,1,Ibiza,0,1,Retiro,1,E,0,1,2,1,0,675,1,45,0,0,Apartamento
0,10-20,1,Abrantes,0,0,Carabanchel,0,G,0,0,3,0,0,650,2,65,0,1,Piso
0,50-70,1,Casa de Campo,0,0,Moncloa,1,E,0,1,Bajos,1,0,750,2,75,0,0,Piso
1,50-70,1,Vallehermoso,0,0,Chamberí,1,G,0,0,6,0,0,950,1,70,0,1,Piso
0,70-100,2,Jerónimos,0,0,Retiro,1,G,0,1,Bajos,0,0,790,3,90,0,0,Piso
1,50-70,2,Guindalera,0,1,Salamanca,1,G,0,0,1,0,0,1400,4,146,0,0,Piso
0,70-100,1,Guindalera,0,0,Salamanca,1,G,0,1,1,1,0,690,1,45,0,0,Piso
0,50-70,1,Arapiles,0,1,Chamberí,1,F,0,1,Bajos,1,0,1100,3,60,0,1,Piso
0,70-100,1,Trafalgar,0,0,Chamberí,0,G,0,0,1,0,0,1500,1,75,0,1,Piso
1,70-100,2,Goya,1,1,Salamanca,1,E,1,1,3,0,0,2350,3,160,0,1,Piso
1,+100,2,Cortes,0,1,Centro,1,G,1,1,4,1,0,1650,3,140,0,0,Piso
1,10-20,1,Rosas,0,0,Villaverde,1,G,0,1,1,1,0,800,3,80,0,0,Piso
1,50-70,1,Cuatro Caminos,0,0,Tetuán,1,G,0,1,3,1,0,800,1,70,0,0,Piso
1,+100,1,Universidad,0,0,Centro,0,G,0,0,2,0,0,990,2,55,0,0,Piso
1,70-100,1,Ríos Rosas,0,1,Chamberí,0,G,0,0,5,0,0,1100,1,58,0,0,Piso
1,+100,2,Recoletos,1,0,Salamanca,0,G,0,0,4,0,0,1500,2,85,1,1,Piso
1,70-100,1,Argüelles,0,0,Moncloa,1,G,0,0,3,0,0,750,1,75,0,1,Piso
1,+100,1,Justicia,0,0,Centro,1,G,0,0,1,0,0,670,1,38,0,0,Estudio
1,70-100,1,Trafalgar,0,0,Chamberí,1,G,0,0,5,0,0,700,1,42,0,0,Estudio
1,70-100,1,Arapiles,0,0,Chamberí,1,G,0,0,6,0,0,1800,2,95,0,1,Piso
1,50-70,1,Hispanoamérica,0,0,Chamartín,1,G,0,0,5,0,0,1200,2,60,0,0,Piso
0,30-50,2,Almagro,0,0,Chamberí,0,G,0,0,3,0,0,1400,2,75,0,0,Piso
0,70-100,2,Gaztambide,0,0,Chamberí,1,G,0,0,6,0,0,1395,3,115,0,0,Piso
1,70-100,1,Goya,0,1,Salamanca,1,G,0,0,2,0,0,800,1,60,0,0,Piso
