Antiquity,Bathrooms,Community_Expenses,Condition,Deposit,Elevator,Emissions,Energy_Consumption,Extra,Floor,Furnished,Heating,Neighborhood,Orientation,Parking,Pets,Photos,Price,Rooms,Size,Title,Type,Water_Heater,url
nan,1,nan,nan,,nan,En trámite,G,Armarios-Calefacción-Gres Cerámica-Cocina Equipada,nan,Sí,nan,"Del Alcalde Sáinz de Baranda, 7, Retiro",,,Sí,21,850 €,2,39,"Piso de alquiler en Del Alcalde Sáinz de Baranda, 7 Ibiza de Madrid",Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/calefaccion-amueblado-se-aceptan-mascotas/158640282/d
nan,2,nan,Bien,,Sí,En trámite,G,Aire acondicionado-Armarios-Calefacción-Cocina Equipada,5ª planta,Sí,nan,"De la Corredera Baja de San Pablo, 47, Centro",Sureste,,nan,33,1.300 €,2,70,"Piso de alquiler en De la Corredera Baja de San Pablo, 47 Universidad - Malasaña",Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor-amueblado/158640283/d
70 a 100 años,1,nan,Casi nuevo,,Sí,E,E,Aire acondicionado-Calefacción-Cocina Equipada,1ª planta,Sí,nan,"Del Cardenal Cisneros, 25, Chamberí",Este,,nan,37,1.300 €,2,75,"Piso de alquiler en Del Cardenal Cisneros, 25 Trafalgar",Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor-amueblado/158640292/d
70 a 100 años,2,nan,Muy bien,,Sí,D,D,Aire acondicionado-Armarios-Patio-Cocina Equipada,Entresuelo,Sí,nan,"Feijóo, 10, Chamberí",Sur,,nan,35,1.500 €,3,82,"Piso de alquiler en Feijóo, 10 Trafalgar",Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-ascensor-patio-amueblado/158640298/d
nan,1,nan,nan,,Sí,En trámite,G,Aire acondicionado-Armarios-Serv. portería,2ª planta,nan,nan,"Diego de León, 39, Salamanca",nan,,nan,7,1.150 €,1,55,"Apartamento de alquiler en Diego de León, 39 Castellana",Apartamento,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-ascensor/158651392/d
nan,2,nan,nan,,nan,En trámite,G,Aire acondicionado-Armarios-Calefacción-Parquet-Terraza-Cocina Office-Patio-Electrodomésticos-Horno-Lavadora-Microondas-Nevera-Puerta Blindada-Lavadero-Cocina Equipada,Bajos,Sí,nan,"Avenida de Logroño, Barajas",nan,,nan,19,950 €,3,88,Piso de alquiler en Avenida de Logroño Casco Histórico de Barajas,Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-patio-amueblado/158874926/d
50 a 70 años,2,Sí,Bien,,Sí,C,D,Aire acondicionado-Armarios-Gres Cerámica-Cocina Office-Lavadora-Nevera-Puerta Blindada-Cocina Equipada,5ª planta,No,Gas Natural,"Calle de la Montera, Centro",Sureste,,nan,63,1.050 €,2,100,Piso de alquiler en Calle de la Montera Sol,Piso,Electricidad,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor-no-amueblado/158874976/d
nan,2,Sí,Casi nuevo,,Sí,En trámite,G,Aire acondicionado-Armarios-Trastero-Electrodomésticos-Horno-Lavadora-Microondas-Nevera-TV-Puerta Blindada-Cocina Equipada,nan,Sí,Electricidad,"Calle de Preciados, 40, Centro",nan,,nan,25,840 €,2,65,"Piso de alquiler en Calle de Preciados, 40 Sol",Piso,Electricidad,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-trastero-ascensor-amueblado-television/158875003/d
1 a 5 años,1,nan,Casi nuevo,,Sí,C,B,Aire acondicionado-Armarios-Parquet-Terraza-Cocina Equipada,nan,nan,Gas Natural,Puente de Vallecas,nan,,nan,13,685 €,1,44,Piso de alquiler en Numancia,Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-ascensor/157545733/d
30 a 50 años,2,nan,nan,,Sí,En trámite,G,Aire acondicionado-Armarios-Calefacción-Jardín Privado-Parquet-Piscina-Electrodomésticos-Videoportero-Puerta Blindada-Piscina comunitaria-Cocina Equipada,13ª planta,nan,nan,"Leopoldo Alas Clarin, Fuencarral",nan,Privado,nan,29,1.300 €,3,133,Ático de alquiler en Leopoldo Alas Clarin Peñagrande,Ático,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-jardin-ascensor-piscina-piscina/158364680/d
50 a 70 años,1,nan,nan,,Sí,En trámite,G,Calefacción,Bajos,nan,nan,Chamartín,nan,nan,nan,23,1.600 €,3,85,Piso de alquiler en Nueva España,Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/calefaccion-ascensor/157626339/d
50 a 70 años,2,Sí,Casi nuevo,Sí,nan,E,E,Aire acondicionado-Armarios-Terraza-Electrodomésticos-Horno-Lavadora-Microondas-Nevera-Balcón-Puerta Blindada-Lavadero-Cocina Equipada,3ª planta,No,Gas Natural,"Calle de las Aguileñas, Tetuán",Suroeste,nan,nan,20,900 €,3,79,Piso de alquiler en Calle de las Aguileñas Almenara -Ventilla,Piso,Gas Natural,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-no-amueblado/157578733/d
50 a 70 años,1,Sí,Muy bien,Sí,Sí,En trámite,G,Aire acondicionado-Armarios-Calefacción-Parquet-Terraza-Electrodomésticos-Lavadora-Microondas-Nevera-Serv. portería-Videoportero-Puerta Blindada-Cocina Equipada,3ª planta,Sí,nan,"Calle de Juan Hurtado de Mendoza, Chamartín",Sur,nan,nan,33,1.200 €,1,62,Piso de alquiler en Calle de Juan Hurtado de Mendoza Nueva España,Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-ascensor-amueblado/158291243/d
50 a 70 años,1,Sí,Muy bien,Sí,Sí,E,E,Aire acondicionado-Armarios-Calefacción-Parquet-Z. Comunitaria-Suite - con baño-Electrodomésticos-Horno-Lavadora-Nevera-Serv. portería-Zona Infantil-Puerta Blindada-Cocina Equipada,5ª planta,nan,nan,"Calle del Doctor Fleming, Chamartín",nan,Comunitario,nan,34,1.150 €,1,60,Piso de alquiler en Calle del Doctor Fleming Hispanoamérica - Bernabéu,Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-zona-comunitaria-ascensor-parking/158503529/d
30 a 50 años,1,Sí,Muy bien,nan,Sí,E,E,Aire acondicionado-Armarios-Terraza-Suite - con baño-Electrodomésticos-Lavadora-Microondas-Nevera-Serv. portería-TV-Puerta Blindada-Cocina Equipada,4ª planta,Sí,Gas Natural,"Calle de Antonio Pérez, Chamartín",Suroeste,nan,nan,28,900 €,1,50,Apartamento de alquiler en Calle de Antonio Pérez El Viso,Apartamento,Gas Natural,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-ascensor-amueblado-television/158541996/d
nan,2,nan,nan,nan,Sí,G,G,Aire acondicionado-Armarios-Calefacción-Electrodomésticos-Cocina Equipada,4ª planta,nan,nan,"Gran Vía, 71, Centro",nan,nan,nan,16,1.800 €,3,115,"Piso de alquiler en Gran Vía, 71 Palacio",Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor/157455480/d
50 a 70 años,2,nan,nan,nan,Sí,En trámite,G,Aire acondicionado-Armarios-Calefacción-Parquet-Terraza-Serv. portería-Puerta Blindada-Cocina Equipada,nan,nan,nan,"Boston, Salamanca",nan,nan,nan,27,1.275 €,3,110,Piso de alquiler en Boston Guindalera,Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-ascensor/158052251/d
