Air_Conditioner,Antiquity,Bathrooms,Borough,Community_Zone,Concierge,District,Elevator,Emissions,Energy_Consumption,Ensuite,Equipped_Kitchen,Floor,Furnished,Garden,Len_Extras,Photos,Price,Rooms,Size,Swimming_Pool,Terrace,Type
0,70-100,1,Ibiza,0,0,Retiro,1,G,G,0,0,5-8,0,0,2,38,750,1,45,0,0,Piso
1,10-20,1,Rejas,1,1,San Blas,1,A,A,0,1,1-4,1,0,13,18,750,1,60,0,0,Loft
1,70-100,2,Ibiza,0,0,Retiro,0,G,G,0,0,1-4,0,0,4,26,1150,2,70,0,0,Piso
1,50-70,1,Guindalera,0,0,Salamanca,1,G,G,0,1,1-4,1,0,4,19,500,1,17,0,0,Estudio
1,10-20,2,Valdefuentes,0,0,Hortaleza,1,E,E,0,1,1-4,0,0,8,13,1150,2,130,1,1,Piso
0,50-70,1,Concepción,0,0,Centro,0,G,G,0,1,1-4,1,0,2,11,1200,3,100,0,0,Piso
1,+100,4,Jerónimos,0,0,Retiro,1,D,D,1,1,1-4,1,0,11,26,8000,3,200,0,0,Piso
0,70-100,1,Arapiles,0,0,Chamberí,1,G,G,0,1,5-8,1,0,3,20,1250,3,80,0,0,Piso
0,30-50,1,Prosperidad,0,1,Chamartín,1,G,G,0,1,1-4,0,0,4,16,1100,2,85,0,0,Piso
0,30-50,1,Valdezarza,0,0,Moncloa,1,G,G,0,1,1-4,1,0,12,16,750,2,60,0,0,Piso
1,30-50,2,Hispanoamérica,0,0,Chamartín,1,G,G,0,1,1-4,1,0,5,27,1450,2,96,0,0,Piso
1,+100,1,Sol,0,0,Centro,1,G,G,0,0,1-4,0,0,4,11,940,1,42,0,0,Loft
1,10-20,2,Berruguete,0,0,Tetuán,1,B,B,0,1,1-4,0,0,7,17,890,2,89,0,0,Apartamento
